"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
1721.358,339.343,495.351,160.192,484.542,-79.463,204,1,0,1,1,0,0,0,0,0,1
1723.174,317.436733548884,368.614,160.664,311.826,141.952,132,1,2,1,1,0,0,0,0,0,1
1904.612,224.572856015217,366.226,112.067,440.212,94.592,152,1,2,3,2,3,0,195.957,366.226,253.092398147575,2
1923.486,200.917,387.528,46.563,230.478,15.176,72,1,1,1,2,3,0,200.917,368.244,136.068261393806,2
2013.675,433.113,488.898,145.647,401.821,-11.817,151,1,0,3,3,0,2,460.677,488.898,439.925598535357,2
2014.426,374.026316681227,365.1645,74.826,331.632,71.56,108,1,2,7,3,0,0,0,0,0,2
2177.198,219.084676663129,363.9165,53.76,238.465,39.969,91,1,2,10,4,3,0,196.911,363.9165,112.25123277225,3
2197.553,201.4325,401.4,42.631,369.79,3.693,85,1,1,2,4,3,0,201.4325,368.049,49.2502539076975,3
3038.25,327.526242432941,362.153,51.363,212.166,25.613,76,1,2,13,5,0,0,0,0,0,4
3040.505,328.492,483.239,265.534,647.488,-5.312,305,1,0,10,5,0,0,0,0,0,4
3316.063,442.616749477347,361.6905,130.772,397.77,36.211,206,1,2,18,6,0,4,468.04,361.6905,506.373995789709,5
3322.047,468.119,394.156258992789,202.584,543.4,-16.97,257,1,3,4,6,4,0,468.119,356.362,439.989437425881,5
3649.005,242.932,481.479,163.429,640.009,-71.219,220,1,0,27,7,1,0,207.407,481.479,320.421428045596,6
3662.088,252.257323363209,361.3685,145.063,752.33,177.432,227,1,2,20,7,3,0,205.483,361.3685,108.233293672509,6
3831.679,344.917,482.383,264.158,555.145,-24.326,265,1,0,33,8,0,0,0,0,0,7
3831.9,327.380676998617,360.975,71.368,311.566,49.487,120,1,2,21,8,0,0,0,0,0,7
4348.724,343.743,483.039,78.26,447.654,46.38,105,1,0,39,9,0,0,0,0,0,8
4363.169,328.355103058293,357.889,51.142,246.281,57.737,71,1,2,24,9,0,0,0,0,0,8
4458.115,385.615,483.056,106.565,356.024,-60.658,122,1,0,40,10,0,0,0,0,0,8
4464.389,353.679554368425,358.1075,65.565,243.502,54.72,72,1,2,25,10,0,0,0,0,0,8
